participant_id,trial_index,global_field_power,delta_power,theta_power,alpha_power,beta_power
sub-01,0,15.05361680687895,1.5922686278014888e-11,3.0440971931663608e-12,1.172509816801317e-12,1.282719151342118e-13
sub-01,1,13.84554101038631,7.297125545900927e-12,1.2623030757153868e-12,5.033750323328462e-13,1.0471868282199554e-13
sub-01,2,18.306856349524505,1.4850519482283725e-11,2.5892338009100857e-12,1.5362392208358438e-12,1.190934662624569e-13
sub-01,3,16.987614955854127,6.462006051937108e-13,6.846165358530165e-13,1.1246042619290637e-12,8.255710348675077e-14
sub-01,4,16.454866440950664,6.008456635136689e-13,2.0249144083879178e-12,1.083026680117548e-12,8.092288815430552e-14
sub-01,5,14.168782554608793,1.691647229161963e-12,2.0494191466370846e-12,9.3072717565194e-13,1.3770365799237344e-13
sub-01,6,17.534040091963092,2.3473010989989076e-12,1.3981050105187527e-12,9.939951715563605e-13,1.0112937362943525e-13
sub-01,7,16.798113629658065,6.092870764684617e-13,9.49420185113501e-13,9.556752437650976e-13,1.2163980384476932e-13
sub-01,8,14.236754076674018,6.773095067929198e-13,1.3848666748659067e-12,3.3379367213050326e-12,1.1635349238867468e-13
sub-01,9,16.40709374850362,3.324505318288185e-12,1.2349750680910063e-12,1.5525073995542554e-12,1.1953261935916507e-13
sub-01,10,16.1638135852219,1.230050292388467e-12,1.7168945296836103e-12,1.0273937368824473e-12,9.156658248624472e-14
sub-01,11,15.333221411747768,2.8401725136881247e-13,3.194223848000724e-13,5.740625465055231e-13,8.039587944128183e-14
sub-01,12,18.167171262910152,5.129596772450167e-12,1.3148609878662371e-12,1.991490052854816e-12,1.1172375079750823e-13
sub-01,13,13.831205426408976,5.075511290050321e-13,4.547572570299646e-13,1.869710879816117e-12,1.0377593400543486e-13
sub-01,14,13.263899694014002,4.1590898897545814e-13,4.609837214675422e-13,1.2472207004738578e-12,9.60343295682931e-14
sub-01,15,22.999551824327664,1.6966471922288908e-11,2.0551049687229767e-12,7.639720865945497e-13,1.4618209087499942e-13
sub-01,16,14.176184553482843,1.5690144273869952e-12,1.6126051125608474e-12,1.5880234581315022e-12,1.5287353905311372e-13
sub-01,17,21.1589220553806,6.00965664960647e-12,1.7147651319527301e-12,2.0953978799953996e-12,1.5241482542516148e-13
sub-01,18,13.883965829749947,3.783631534207788e-12,9.558241985738084e-13,1.624986502447776e-12,9.950026584552545e-14
sub-01,19,15.073678305241451,3.4188761815689843e-13,9.857095983577618e-13,7.424298760127337e-13,7.608445406255665e-14
sub-01,20,16.38510759540725,1.1189305068548039e-11,1.911601247267871e-12,9.842561175849957e-13,1.0344124179389106e-13
sub-01,21,16.70752212865929,7.05098760509411e-12,1.752690290866343e-12,1.1911724909514314e-12,1.1988742837900658e-13
sub-01,22,15.125534321679382,8.013873593576962e-13,5.770292316980269e-13,8.856391547155371e-13,1.1035575649365703e-13
sub-01,23,20.474012845291274,3.03877102650572e-12,7.103257551886415e-13,6.60177894749088e-13,9.381343152717691e-14
sub-01,24,19.602686900440556,2.2373578936256643e-12,1.0470204264632497e-12,4.686729184238159e-13,9.722797362658772e-14
sub-01,25,22.025446689674062,2.3766958559155565e-12,2.0587645663229653e-12,6.72863364806008e-13,1.0111789363815084e-13
sub-01,26,16.428344767245015,1.3727160118370315e-12,4.762143661032463e-12,2.5801104802082594e-12,1.0490070133618372e-13
sub-01,27,14.191554659190686,5.449627924810102e-13,5.530424173113963e-13,1.388834967090249e-12,1.0388911275699466e-13
sub-01,28,18.602115110820478,5.568284658018985e-13,1.2056134037392539e-12,1.6753848023241994e-12,1.0606461572713672e-13
sub-01,29,17.807517116114838,1.055129467344733e-12,3.641205035986275e-13,8.217599890032754e-13,9.336286474110098e-14
sub-01,30,14.017682947374562,9.27682865358106e-12,2.0877386269816664e-12,9.528639440018625e-13,9.912866795551843e-14
sub-01,31,32.86649911844281,3.155313279553924e-11,6.4434484083402265e-12,4.487715283045488e-12,1.1294403823393245e-13
sub-01,32,18.96813489254632,5.808603128904603e-12,1.189307294453248e-12,1.271469170332073e-12,1.809275820963745e-13
sub-01,33,16.77083608347533,4.0121969621647686e-12,1.1045107063499232e-12,1.0447173405698392e-12,9.960428173143328e-14
sub-01,34,21.84253101125363,4.904229677632494e-12,9.735183574691747e-13,5.583334445794952e-13,1.0579743347734597e-13
sub-01,35,15.172172055355052,7.363183371493863e-13,5.201133229518416e-13,3.4219722410902794e-13,9.721479146675208e-14
sub-01,36,16.80395963691087,2.5162765152401875e-12,3.853161239903313e-12,2.9340587551597263e-12,1.3525607978778167e-13
sub-01,37,24.139432422129527,1.8744325933829493e-12,1.1796100610262924e-12,1.0944802219127486e-12,7.759213782238073e-14
sub-01,38,20.074973256144723,1.3939400727925816e-12,1.2137289826898774e-12,1.3475322830253496e-12,6.999462160146074e-14
sub-01,39,25.43079551130433,4.486229515522313e-12,2.2875862363959613e-12,1.3559734142624883e-12,1.0725368352202066e-13
sub-01,40,20.834320601970695,1.7875690438706459e-12,1.1058784523562648e-12,1.352663237564036e-12,9.759518678802781e-14
sub-01,41,13.482747291513027,5.090920131018232e-13,2.3772782236097993e-12,1.7237018405785862e-12,1.0344462203373284e-13
sub-01,42,13.636215814437431,7.960434885011841e-13,8.763669232959923e-13,4.564965497995364e-13,1.1444695041633742e-13
sub-01,43,21.930476203524776,1.9647722729523528e-12,1.371927668660287e-12,1.3634940594178049e-12,1.3428879242706914e-13
sub-01,44,16.980436227493083,8.443626465189904e-13,8.818254464958855e-13,9.08023258340576e-13,1.3000259200979166e-13
sub-01,45,17.601142062364097,8.141308765300845e-13,7.469369408168845e-13,8.162410613364728e-13,1.0440802898819978e-13
sub-01,46,14.384309982309311,4.0055138000204374e-13,3.722078607341455e-13,6.69796439320087e-13,7.783981649149385e-14
sub-01,47,16.551608338096784,4.3518895367301325e-13,1.4379777600956584e-12,6.28900104529603e-13,1.0957230617723038e-13
sub-01,48,17.783674150830496,3.9227871051895235e-13,9.853033183316376e-13,8.246845338838403e-13,9.110658715917286e-14
sub-01,49,17.228404372599552,7.952112632089734e-13,1.256968014204522e-12,1.717875528011974e-12,1.02162544822439e-13
sub-01,50,17.479617417363492,1.1866277560584173e-12,2.262198301870601e-12,9.349820155598805e-13,1.6842167964896112e-13
sub-01,51,17.35906785565173,8.598660418875284e-12,5.702928588147803e-12,3.562664668367398e-12,2.024046934673625e-13
sub-01,52,30.067891698047802,8.43787695527855e-12,3.1555110254901004e-12,3.1435695801867244e-12,1.7358171206879745e-13
sub-01,53,18.58495350302132,1.5035175793063882e-12,1.924626224093984e-12,5.02022444152577e-13,8.80660811220636e-14
sub-01,54,21.089632936478363,2.145615365238427e-12,2.180132983879297e-12,3.0073230202035075e-12,1.8652621556111842e-13
sub-01,55,14.6286304410053,6.475219180851905e-13,7.819592705208623e-13,6.952305632615371e-13,7.984877440988324e-14
sub-01,56,15.971565208539657,3.27664466818365e-13,9.389382773111477e-13,2.388628215191571e-12,1.0865977349478907e-13
sub-01,57,17.71088966697369,1.4042506456896856e-12,2.398568293896592e-12,2.6026472116105624e-12,1.2235992646979905e-13
sub-01,58,15.573879840545738,6.065728374057533e-13,1.6625920372942096e-12,1.400621127144477e-12,9.626498217274801e-14
sub-01,59,16.05049387672688,1.27891877620307e-12,1.1254732248354754e-12,1.1364450113987867e-12,1.262227174846722e-13
sub-01,60,16.031593526840762,3.440200380393741e-12,1.608571429525663e-12,2.166094215808347e-12,8.805640809975042e-14
sub-01,61,13.932044686769357,1.274045495325952e-12,4.98667956837966e-12,1.1515729449715386e-12,1.1225437765907105e-13
sub-01,62,17.73642651459136,6.115906334204229e-13,1.1770806219047968e-12,3.8164429767459605e-12,1.1430048344268291e-13
sub-01,63,20.183477337787348,3.835150102219875e-12,8.078856262044422e-13,1.3207317617557497e-12,1.1939277182327414e-13
sub-01,64,16.094500653674633,6.37579309402698e-13,3.0727779081249097e-13,9.793764555921353e-13,9.708912060024305e-14
sub-01,65,21.255343619499264,1.7967201634546134e-12,3.0095606007016183e-12,1.4534892612619928e-12,1.0592229889789637e-13
sub-01,66,13.581426979454669,2.3052913729710998e-12,1.8002111533752906e-12,1.117070154756786e-12,9.696411496380762e-14
sub-01,67,14.967430540294757,4.982552564737212e-13,1.4110311391989736e-12,5.860199493398695e-13,7.998886394318112e-14
sub-01,68,15.579483450781575,4.835930101057371e-12,7.73897294023695e-12,2.704369709272823e-12,1.205296090813127e-13
sub-01,69,16.77232690365823,7.783766553814785e-13,5.899272999285785e-13,1.972671113705224e-12,1.1121649013361037e-13
sub-01,70,13.283528861687241,6.725270589541768e-13,4.075631925109824e-12,1.6330957647722726e-12,1.4283005193060223e-13
sub-01,71,12.275997961383228,5.967047585892779e-13,1.1666354621251401e-12,7.473785403459122e-13,6.711981121031743e-14
sub-01,72,17.46441536630601,5.063811587684779e-13,9.129419536188397e-13,2.3887247420468412e-12,9.469791766827255e-14
sub-01,73,14.97855609941757,1.2907619250844057e-12,4.5319542603236877e-13,4.741684908818231e-13,6.336931970894403e-14
sub-02,0,23.74742373299294,5.150388326222011e-12,1.3695147872762988e-12,1.5473218531716613e-13,9.921448941338982e-14
sub-02,1,14.768091960348523,2.1615768356699214e-12,4.663340927776413e-13,2.612525208672389e-13,1.010169080940879e-13
sub-02,2,17.41154399504578,8.821711623946334e-13,3.126200658719679e-13,2.7498024330100884e-13,7.192805299656556e-14
sub-02,3,14.21306818215052,1.0418724634926209e-12,3.782489513054339e-13,1.7214040704551348e-13,1.0630133507726763e-13
sub-02,4,13.30547527298449,1.1160469493302215e-12,3.375883835636023e-13,1.7046845912167687e-13,7.683692767034933e-14
sub-02,5,13.63935126876088,6.579137760609837e-13,3.7957647469284626e-13,1.1441021250617052e-13,1.0013453807355531e-13
sub-02,6,14.297182006992793,2.222660168405671e-12,3.5683864209258435e-13,1.8242769912054103e-13,1.1286646068458458e-13
sub-02,7,13.90218490633808,1.2680962158699244e-12,2.687596365108154e-13,2.4339010236433664e-13,1.5080754030065173e-13
sub-02,8,15.728117870522606,2.4270897237755245e-12,2.607114945061539e-13,1.6647841379773383e-13,8.909011073700574e-14
sub-02,9,14.480044162014055,1.1347438473911294e-12,2.3125592281130376e-13,2.0254317390336687e-13,7.240433388921912e-14
sub-02,10,15.427135814931669,1.5990805544468182e-12,4.0031469069603355e-13,1.0220592462085734e-13,6.288960994649668e-14
sub-02,11,15.657125376377783,7.296323590601401e-13,2.902560249759063e-13,1.8480579093980838e-13,8.361743122181471e-14
sub-02,12,13.908500393390069,1.0649185249334229e-12,2.8159556807104345e-13,1.3858882204921355e-13,8.425973367249071e-14
