trialNum,songNumber,songFileName,songDur,fixTime,responded,rt,postMusicTime,reply,promptRT,choicesMC,respMC,rtMC,outcomeMC,preFeedbackTime,participant_id,trial_index,note_count,trial_window_sec,note_rate,rt_numeric,promptRT_numeric,rtMC_numeric,datetime,age,sex,handedness,cch,session_date,session_month,session_weekday,global_field_power,delta_power,theta_power,alpha_power,beta_power,reply_present,valid_familiarity_rt,responded_label,trial_progress,age_zscore,song_name_clean,log_delta_power,log_theta_power,log_alpha_power,log_beta_power,participant_trial_count,participant_response_rate,participant_mc_accuracy,participant_median_rt,mean_global_field_power,mean_alpha_power,mean_beta_power,log_mean_alpha_power,log_mean_beta_power,song_sample_n,song_response_rate,song_mean_rt,song_median_rt,song_mc_accuracy,mean_note_rate,song_mean_alpha_power,song_mean_beta_power
1,34,do wah ditty.wav,7.758004535147392,0.4573666234043125,0,,0.4915166590409337,,11.72358050011098,7   34   31   12,2,5.467002999968827,1,1.141404923905617,sub-01,0,44,32.702,1.345483456669317,,11.72358050011098,5.467002999968827,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,15.05361680687895,1.5922686278014888e-11,3.0440971931663608e-12,1.172509816801317e-12,1.282719151342118e-13,False,False,Not familiar,0.013513513513513514,0.15957810787389587,do wah ditty,-10.797983661642128,-11.516541485350228,-11.93088351248086,-12.89186842107951,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,19,0.15789473684210525,5.114998166657945,5.891815799986944,0.3684210526315789,1.6958573146500993,8.795414144684819e-13,1.844592983248911e-13
2,11,alouette.wav,5.946984126984127,0.4504003307359423,1,2.872448800131679,0.462233815651757,Frere Jaque,8.877756000030786,97   61   11   29,3,2.955956399906427,1,1.043290353635405,sub-01,1,22,22.300000000000004,0.9865470852017936,2.872448800131679,8.877756000030786,2.955956399906427,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,13.84554101038631,7.297125545900927e-12,1.2623030757153868e-12,5.033750323328462e-13,1.0471868282199554e-13,True,True,Familiar,0.02702702702702703,0.15957810787389587,alouette,-11.136848181714585,-11.898836359586163,-12.298108329488855,-12.979975829088476,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,19,0.6842105263157895,3.3678711384737445,3.124986800015904,0.7894736842105263,1.21971164578032,1.0240811576356855e-12,1.7217419921788782e-13
3,45,great escape.wav,15.75002267573696,0.4587730658685031,1,10.3068710998632,0.4886518604158389,EEG Lab,7.08060219977051,101   16    6   45,2,3.429529499728233,0,1.197642450315487,sub-01,2,50,29.593999999999994,1.689531661823343,10.3068710998632,7.08060219977051,3.429529499728233,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,18.306856349524505,1.4850519482283725e-11,2.5892338009100857e-12,1.5362392208358438e-12,1.190934662624569e-13,True,True,Familiar,0.04054054054054054,0.15957810787389587,great escape,-10.828258354135102,-11.586828732160473,-11.81354115136208,-12.92411206424348,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,17,0.5294117647058824,8.197510066664917,8.843084299995098,0.4117647058823529,1.6963786278549293,7.851493320517298e-13,1.9703585119610798e-13
4,24,buffalo gals.wav,9.331020408163266,0.4727897631539527,1,3.721228400245309,0.4813051156689929,Childhood lullaby,7.650939300190657,24   61   55   58,4,3.680033000186086,0,1.027962887099712,sub-01,3,22,22.637,0.9718602288289084,3.721228400245309,7.650939300190657,3.680033000186086,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.987614955854127,6.462006051937108e-13,6.846165358530165e-13,1.1246042619290637e-12,8.255710348675077e-14,True,True,Familiar,0.05405405405405406,0.15957810787389587,buffalo gals,-12.18963263958336,-12.164552615360295,-11.949000274971407,-13.083245552657125,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,15,0.8666666666666667,5.201300623108882,4.490192700061016,0.26666666666666666,1.4845812021799236,6.264015249107123e-13,1.8130755595434656e-13
5,85,over the river and through the woods.wav,13.91301587301587,0.4522191981112489,0,,0.4021415806141993,,30.11990280030295,35   66   85   64,1,3.465673000086099,0,1.001730178657177,sub-01,4,128,55.781000000000006,2.2946881554651224,,30.11990280030295,3.465673000086099,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.454866440950664,6.008456635136689e-13,2.0249144083879178e-12,1.083026680117548e-12,8.092288815430552e-14,False,False,Not familiar,0.06756756756756757,0.15957810787389587,over the river and through the woods,-12.221237068915988,-11.693593329363106,-11.965360844496466,-13.091928625566405,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,19,0.631578947368421,6.927159283332003,6.079534999997122,0.6842105263157895,3.2346545960457123,5.860990636136422e-13,1.8995717292603343e-13
6,54,if you're happy and you know it.wav,9.09002267573696,0.4251961149835011,1,2.744450799655169,0.4567222796836254,,3.451011400204152,69   81    8   54,3,7.228540299925953,0,1.032965627615686,sub-01,5,28,21.708,1.2898470609913397,2.744450799655169,3.451011400204152,7.228540299925953,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,14.168782554608793,1.691647229161963e-12,2.0494191466370846e-12,9.3072717565194e-13,1.3770365799237344e-13,False,True,Familiar,0.08108108108108109,0.15957810787389587,if you're happy and you know it,-11.771690198272067,-11.688369210727332,-12.031177605241139,-12.861054522889033,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,17,0.8235294117647058,4.117880428563304,4.111540900004911,0.8823529411764706,2.3951091740183013,4.718524528510035e-13,1.6861530641848386e-13
7,99,she'll be coming 'round the mountain.wav,8.86,0.483237072647096,1,3.987203999888152,0.4432200649708224,Childhood,6.733620599843562,29   55   99   36,3,2.880672100000083,1,1.063824026527486,sub-01,6,28,26.439999999999998,1.0590015128593042,3.987203999888152,6.733620599843562,2.880672100000083,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,17.534040091963092,2.3473010989989076e-12,1.3981050105187527e-12,9.939951715563605e-13,1.0112937362943525e-13,True,True,Familiar,0.0945945945945946,0.15957810787389587,she'll be coming 'round the mountain,-11.629431197897606,-11.854460207863514,-12.002615725231985,-12.99512268266466,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,19,0.8421052631578947,5.109622106238248,5.522124300005089,0.7368421052631579,1.6193789023606486,5.710480741320334e-13,1.7009445758815703e-13
8,50,hickory dickory dock.wav,7.077006802721089,0.4378224041609163,0,,0.4099947611424903,,1.988633799832314,5   80   50   77,3,4.944185100030154,1,1.114755660846534,sub-01,7,56,21.65700000000001,2.5857690354157996,,1.988633799832314,4.944185100030154,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.798113629658065,6.092870764684617e-13,9.49420185113501e-13,9.556752437650976e-13,1.2163980384476932e-13,False,False,Not familiar,0.10810810810810811,0.15957810787389587,hickory dickory dock,-12.21517803355772,-12.022541539217382,-12.019689664002193,-12.914924288866635,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,20,0.25,4.7919403000269085,5.952780700055882,0.65,2.28856755361635,9.055857615555929e-13,2.274102643103458e-13
9,44,good night ladies.wav,6.378004535147392,0.4702214545650047,0,,0.4396565644765426,,1.220271999947727,41   44   42  102,2,3.727488699834794,1,1.146130388715832,sub-01,8,36,18.968999999999994,1.897833306974538,,1.220271999947727,3.727488699834794,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,14.236754076674018,6.773095067929198e-13,1.3848666748659067e-12,3.3379367213050326e-12,1.1635349238867468e-13,False,False,Not familiar,0.12162162162162163,0.15957810787389587,good night ladies,-12.16921282854434,-11.858592035377265,-11.476521900685093,-12.934220576688663,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,21,0.2857142857142857,4.7101570499993,4.842400749970693,0.47619047619047616,1.4992786976070867,1.0064981869470247e-12,1.7174974466938828e-13
10,89,pop goes the weasel.wav,7.075011337868481,0.4010269464186392,1,1.939558399841189,0.4827305854882273,Merry-go-roud,8.376291800290346,18   89   56   16,2,2.288051099982113,1,1.082384472280376,sub-01,9,20,22.194000000000017,0.9011444534558883,1.939558399841189,8.376291800290346,2.288051099982113,2024-04-03 12:49:04,24,M,L,N,2024-04-03,2024-04,Wednesday,16.40709374850362,3.324505318288185e-12,1.2349750680910063e-12,1.5525073995542554e-12,1.1953261935916507e-13,True,True,Familiar,0.13513513513513514,0.15957810787389587,pop goes the weasel,-11.47827296796109,-11.908341809934514,-11.808966321213912,-12.922513563547884,74,0.5405405405405406,0.5,3.83406709972769,17.38308463073766,1.4294691115612945e-12,1.104487110098081e-13,-11.844825224582605,-12.956839348190863,16,0.875,3.003007885706211,2.9835551000287523,0.875,1.4546941458343579,1.0317009072613556e-12,2.6983533302073673e-13
