songFileName,song_sample_n,song_response_rate,song_mean_rt,song_median_rt,song_mc_accuracy,mean_note_rate,song_mean_alpha_power,song_mean_beta_power,song_name_clean
I feel fine.wav,14,0.21428571428571427,2.357457166663759,1.876872100052424,0.5,2.5965498287047235,7.978622821598193e-13,1.9432505905794352e-13,I feel fine
I think I love you.wav,17,0.17647058823529413,5.931036833358424,5.875756100052968,0.17647058823529413,1.0743725757823062,1.2670016999728514e-12,2.1532889185297698e-13,I think I love you
I think we're alone now.wav,20,0.2,4.4118013749830425,5.137467549997382,0.55,1.7061488211434703,5.90216712196207e-13,2.040399419916597e-13,I think we're alone now
I've been working on the railroad.wav,16,0.75,5.24249897499855,4.469121500027541,0.75,1.667051366190298,1.1180778215213997e-12,1.8738953610541691e-13,I've been working on the railroad
James Bond.wav,20,0.3,2.80563633335017,2.7755237000092166,0.55,2.5489273298661907,6.9496911942536e-13,1.9586615046208874e-13,James Bond
YMCA.wav,21,0.38095238095238093,9.60413844996583,10.264613849984016,0.5238095238095238,2.393559844517507,6.140512946067328e-13,1.613744120277075e-13,YMCA
a spoonful of sugar.wav,14,0.42857142857142855,4.491723066681819,3.9274042499991992,0.5714285714285714,1.231122270495092,7.944461384017824e-13,1.736390951999439e-13,a spoonful of sugar
a whole new world.wav,15,0.7333333333333333,3.821505572744751,3.497370700002648,0.7333333333333333,1.109293606016825,4.58256033293326e-13,1.8192827533564388e-13,a whole new world
a-tisket a-tasket.wav,18,0.3888888888888889,4.440154914301404,4.5850405000092,0.3888888888888889,3.527591017448948,5.459535331593658e-13,2.0499352783889452e-13,a-tisket a-tasket
all my loving.wav,19,0.10526315789473684,3.9201895000514924,3.9201895000514924,0.47368421052631576,1.5405726230283956,6.612543469560899e-13,1.814187662180952e-13,all my loving
alouette.wav,19,0.6842105263157895,3.3678711384737445,3.124986800015904,0.7894736842105263,1.21971164578032,1.0240811576356855e-12,1.7217419921788782e-13,alouette
amazing grace.wav,14,1.0,4.569357135709781,4.4793477999946845,1.0,0.8164289441371085,1.3406704548992084e-12,1.9402998247656799e-13,amazing grace
america the beautiful.wav,22,0.22727272727272727,6.490809019997323,6.234506400011014,0.22727272727272727,2.1260513528321785,1.1039491404585553e-12,2.0907464233915601e-13,america the beautiful
angel is my centerfold (Example).wav,14,0.9285714285714286,3.7548463769246436,3.712943099992117,0.42857142857142855,1.1443395463394896,6.742851538544248e-13,1.795018929115581e-13,angel is my centerfold (Example)
another one bites the dust.wav,19,0.631578947368421,5.654553966644623,5.571712850003678,0.7894736842105263,1.7307307920892452,6.160440776240835e-13,2.0786686231319116e-13,another one bites the dust
are you sleeping brother john.wav,14,0.9285714285714286,3.9612552692301857,3.259630300002755,0.6428571428571429,1.311889729281463,9.783843466245471e-13,1.8461944676627291e-13,are you sleeping brother john
baby love.wav,17,0.17647058823529413,5.4062746666944195,5.47063530003652,0.23529411764705882,1.4015640910184903,5.353405333482465e-13,1.5483200535126355e-13,baby love
be kind to your web-footed friend.wav,15,0.4,4.850621166668134,5.7556678500186536,0.26666666666666666,1.3807271452133278,9.066510718970096e-13,1.7058720775806265e-13,be kind to your web-footed friend
billie jean.wav,18,0.1111111111111111,4.051077749958495,4.051077749958495,0.5,1.6829746745572263,5.909739214345684e-13,1.9179647051771393e-13,billie jean
bingo.wav,15,0.8,3.8963074000040856,3.5515821999579202,0.6,1.861848248332842,4.911610112107423e-13,1.7090929164409047e-13,bingo
blow the man down.wav,19,0.2631578947368421,5.21815623997536,4.161308199982159,0.6842105263157895,1.8891111341480644,1.5648742052431675e-12,1.8818695889331009e-13,blow the man down
blowin' in the wind.wav,17,0.4117647058823529,5.252832628545418,4.962906300002942,0.4117647058823529,1.403225066909757,6.4604084672615e-13,1.5215973588760012e-13,blowin' in the wind
brahms lullaby.wav,17,0.8235294117647058,3.8047384857188393,3.75801789999241,0.7647058823529411,0.9296165429899227,9.6119292157373e-13,1.7591944183350305e-13,brahms lullaby
buffalo gals.wav,15,0.8666666666666667,5.201300623108882,4.490192700061016,0.26666666666666666,1.4845812021799236,6.264015249107123e-13,1.8130755595434656e-13,buffalo gals
bye baby bunting.wav,19,0.15789473684210525,4.2987260666462435,4.284533499972895,0.21052631578947367,1.253405919562771,8.140575694748711e-13,1.832305568447256e-13,bye baby bunting
camptown races.wav,14,0.5714285714285714,3.200623787508448,2.561745749997499,0.42857142857142855,1.175973952779302,6.371168333686605e-13,2.416148908785344e-13,camptown races
can't help falling in love.wav,16,0.4375,7.6714768571265655,8.085418899994693,0.625,1.057690390326194,9.746331026732089e-13,1.7856867578321017e-13,can't help falling in love
chicken dance.wav,17,0.8823529411764706,2.7855082333281946,2.788717499934137,0.7647058823529411,1.66871786403528,5.68050050914643e-13,2.9742125699954077e-13,chicken dance
cindy.wav,16,0.3125,7.262517099998513,7.79943429999912,0.1875,2.041422122300064,5.721815050471233e-13,1.6658451535123042e-13,cindy
clementine.wav,15,0.7333333333333333,3.54388938182067,3.072693800000707,0.5333333333333333,1.4067990418188607,6.868746691121616e-13,2.327203588666481e-13,clementine
copacabana.wav,16,0.375,4.954442433356841,4.09052175004399,0.625,1.8434098475246044,1.1755947872501698e-12,2.001354414801353e-13,copacabana
daisy bell.wav,24,0.5833333333333334,4.802521357140255,4.684906549999141,0.4166666666666667,1.4468251615379586,8.952835082677257e-13,1.6993285482471095e-13,daisy bell
do as I'm doing.wav,15,0.13333333333333333,3.342006049999327,3.342006049999327,0.4666666666666667,3.7877431969898137,8.220157298330652e-13,1.48578870553703e-13,do as I'm doing
do wah ditty.wav,19,0.15789473684210525,5.114998166657945,5.891815799986944,0.3684210526315789,1.6958573146500993,8.795414144684819e-13,1.844592983248911e-13,do wah ditty
do your ears hang low.wav,20,0.9,3.3051995777641423,3.2616736500058323,0.65,1.8483950278621233,6.490959603249068e-13,6.731514568330545e-13,do your ears hang low
do-re-mi.wav,19,0.631578947368421,4.112124158327258,3.8408767500004615,0.42105263157894735,1.093541061654281,7.209138760939492e-13,1.802820147316661e-13,do-re-mi
down in my heart.wav,16,0.4375,5.502421342866261,5.398673100018641,0.75,1.4652351646760016,1.0100952556793708e-12,2.08345347820613e-13,down in my heart
eight days a week.wav,19,0.10526315789473684,3.097724699997343,3.097724699997343,0.47368421052631576,1.4497174192780122,5.525728432791315e-13,1.7869853383255985e-13,eight days a week
everlasting love.wav,19,0.05263157894736842,2.069657400017604,2.069657400017604,0.3157894736842105,1.812904872125708,7.736665851025673e-13,1.9795870002147186e-13,everlasting love
eye of the tiger.wav,15,0.4666666666666667,4.061946257131889,4.179969500051811,0.6666666666666666,1.5162304075990596,9.788368938311985e-13,2.0786796865797436e-13,eye of the tiger
for he's a jolly good fellow.wav,14,0.8571428571428571,3.6462574583279093,3.498957049996534,0.9285714285714286,1.6130991206288703,6.844716397504428e-13,2.6916529438402173e-13,for he's a jolly good fellow
froggy went a-courtin'.wav,14,0.5714285714285714,5.160417062474153,5.231465400000161,0.42857142857142855,2.08276830155382,5.577718442890788e-13,1.669124757851768e-13,froggy went a-courtin'
get ready.wav,17,0.17647058823529413,4.686644666682696,5.242542100022547,0.5294117647058824,1.9907803034120106,9.846701197659191e-13,1.9626438437426707e-13,get ready
good night ladies.wav,21,0.2857142857142857,4.7101570499993,4.842400749970693,0.47619047619047616,1.4992786976070867,1.0064981869470247e-12,1.7174974466938828e-13,good night ladies
great escape.wav,17,0.5294117647058824,8.197510066664917,8.843084299995098,0.4117647058823529,1.6963786278549293,7.851493320517298e-13,1.9703585119610798e-13,great escape
happy birthday.wav,17,1.0,2.7390487352963913,2.873243100009859,0.8823529411764706,1.005017471108489,4.0683534957212367e-13,1.536716654547233e-13,happy birthday
happy trails.wav,18,0.05555555555555555,6.312277799996082,6.312277799996082,0.4444444444444444,1.8440203323463595,6.393150661774106e-13,1.607377134578776e-13,happy trails
heigh-ho.wav,15,0.3333333333333333,4.9236984599934654,4.181941699993331,0.4666666666666667,1.7234683581494175,5.211153817611432e-13,1.9178103316015192e-13,heigh-ho
"hello mudduh, hello fadduh.wav",18,0.16666666666666666,3.2601972666346533,2.343881999986479,0.5555555555555556,2.4794853278280176,5.089460791750127e-13,1.7300323242200342e-13,"hello mudduh, hello fadduh"
hickory dickory dock.wav,20,0.25,4.7919403000269085,5.952780700055882,0.65,2.28856755361635,9.055857615555929e-13,2.274102643103458e-13,hickory dickory dock
home on the range.wav,20,0.2,4.754126149993681,4.69933969998965,0.35,2.4867552259810237,1.0170520936414158e-12,1.7198266655046633e-13,home on the range
hot cross buns.wav,16,0.6875,3.947151754553984,3.600043999991613,0.8125,1.1229379017748022,8.700899672140564e-13,1.8653360040916574e-13,hot cross buns
hush little baby.wav,16,0.875,3.395544571422501,3.370605150004849,0.9375,1.5703533074170077,4.724936250881583e-13,2.0097313400764597e-13,hush little baby
if you're happy and you know it.wav,17,0.8235294117647058,4.117880428563304,4.111540900004911,0.8823529411764706,2.3951091740183013,4.718524528510035e-13,1.6861530641848386e-13,if you're happy and you know it
in a gadda da vida.wav,15,0.4666666666666667,5.679805528570796,6.861187400005292,0.6,1.402697227440069,4.990198390848224e-13,1.9221149845135752e-13,in a gadda da vida
iron man.wav,17,0.47058823529411764,4.562298962495333,4.491644249988894,0.6470588235294118,1.926458600409777,1.0787783744896518e-12,2.287737201978838e-13,iron man
it's a small world.wav,21,0.6666666666666666,5.635077764299759,6.141382700036047,0.38095238095238093,0.8888253392250828,1.0677954975409413e-12,1.9589213420818627e-13,it's a small world
itsy bitsy spider.wav,18,0.7777777777777778,4.493652564319226,4.6400069499950405,0.7222222222222222,2.4103940687503407,8.204864199053055e-13,1.7307637125550713e-13,itsy bitsy spider
jimmy crack corn.wav,17,0.6470588235294118,4.988219409089652,5.296859800000675,0.35294117647058826,1.632960793138851,1.1857929234616143e-12,1.9884353574095137e-13,jimmy crack corn
john jacob jingleheimerschmidt.wav,18,0.2777777777777778,6.202589099976467,6.725593399984064,0.3333333333333333,3.0150396962863106,6.896024036060195e-13,1.920039689504971e-13,john jacob jingleheimerschmidt
let it be.wav,16,0.125,6.385374699966633,6.385374699966633,0.3125,2.0423368860029574,1.6031797034130658e-12,1.9585025514914134e-13,let it be
let it snow.wav,13,0.6153846153846154,5.6354307625078945,5.548632049991284,0.8461538461538461,2.3428344690983596,4.661162057728431e-13,1.5621055663086057e-13,let it snow
little jack horner.wav,18,0.5555555555555556,4.400630250012545,4.563477550022071,0.4444444444444444,2.4940945790950604,6.066639789467194e-13,1.5771932115744008e-13,little jack horner
london bridge.wav,21,0.8571428571428571,2.832340266667517,2.624422600008984,0.5714285714285714,1.2983912997653686,7.119448149904949e-13,2.123228980400385e-13,london bridge
louie louie.wav,16,0.125,3.943322199978866,3.943322199978866,0.3125,1.6831035162380563,6.869833733563681e-13,1.8911943003254986e-13,louie louie
love and marriage.wav,16,0.25,4.247171650007658,4.124212749986327,0.4375,1.312643988370279,1.2906172685566508e-12,2.524198946528027e-13,love and marriage
love me do.wav,19,0.47368421052631576,5.897464988881337,6.235104600000341,0.631578947368421,1.7650586016133918,9.241744387877272e-13,1.8226724442361925e-13,love me do
love me tender.wav,14,0.21428571428571427,4.217970233338444,3.486238899989985,0.2857142857142857,1.8456539706687305,7.17190302778684e-13,1.8118920456857936e-13,love me tender
mary had a little lamb.wav,18,0.9444444444444444,2.9846467235325047,2.542650999996113,0.8888888888888888,1.0627215158724392,1.1787965771830478e-12,1.8138638957910245e-13,mary had a little lamb
michael row the boat ashore.wav,18,0.2777777777777778,4.436821059990325,3.956823899992742,0.3888888888888889,1.5613778619941472,8.884556279436592e-13,2.6463023298393367e-13,michael row the boat ashore
mickey mouse march.wav,13,0.3076923076923077,2.8723784500575675,2.7271875999749686,0.46153846153846156,2.368665752979218,4.930153475987585e-13,1.6384607146737299e-13,mickey mouse march
muppet show.wav,20,0.2,2.882743725000182,2.9064976000081515,0.5,1.9220868452394133,6.153686174849295e-13,2.0952636945077633e-13,muppet show
my bonnie lies over the ocean.wav,16,0.25,3.590538850021858,3.589983050049341,0.8125,1.5034090219055285,5.329679045893918e-13,1.8374786244607254e-13,my bonnie lies over the ocean
my country 'tis of thee.wav,17,0.4117647058823529,9.456289799997519,9.906851399995505,0.4117647058823529,2.364181319191699,1.2690686932377783e-12,1.794075976520213e-13,my country 'tis of thee
my favorite things.wav,13,0.46153846153846156,6.026309333343913,5.338385549985105,0.7692307692307693,2.176371966214023,4.715994376351041e-13,1.7725589222820211e-13,my favorite things
my girl.wav,15,0.4666666666666667,4.44108500000896,3.785495100004482,0.4666666666666667,1.4683532367181198,1.262239123804786e-12,1.6949686126622668e-13,my girl
