fold,participant_id,n_trials,familiar_rate,roc_auc,accuracy,balanced_accuracy,f1
1,sub-01,74,0.5405405405405406,0.4205882352941176,0.5540540540540541,0.5389705882352941,0.6373626373626374
2,sub-02,75,0.6266666666666667,0.48024316109422494,0.6533333333333333,0.5357142857142857,0.7833333333333334
3,sub-03,101,0.8613861386138614,0.4499178981937602,0.26732673267326734,0.4848111658456486,0.3018867924528302
4,sub-04,78,0.32051282051282054,0.5305660377358491,0.3076923076923077,0.4377358490566038,0.4255319148936171
5,sub-05,66,0.7121212121212122,0.47816349384098544,0.6363636363636364,0.47816349384098544,0.7692307692307693
6,sub-06,72,0.3333333333333333,0.5364583333333333,0.6666666666666666,0.5,0.0
7,sub-07,79,0.31645569620253167,0.5103703703703704,0.4050632911392405,0.5433333333333333,0.49462365591397855
8,sub-09,61,0.5245901639344263,0.47521551724137934,0.5245901639344263,0.5,0.6881720430107526
9,sub-10,63,0.4444444444444444,0.47857142857142854,0.47619047619047616,0.5142857142857142,0.5925925925925926
10,sub-11,59,0.03389830508474576,0.3508771929824562,0.7796610169491526,0.40350877192982454,0.0
11,sub-12,63,0.5714285714285714,0.4547325102880658,0.42857142857142855,0.5,0.0
12,sub-13,71,0.7323943661971831,0.4220647773279353,0.6197183098591549,0.4564777327935223,0.7567567567567568
13,sub-14,69,0.8115942028985508,0.5041208791208791,0.43478260869565216,0.47458791208791207,0.5411764705882354
14,sub-15,77,0.4155844155844156,0.5784722222222222,0.5974025974025974,0.5336805555555555,0.24390243902439024
15,sub-16,82,0.524390243902439,0.5307096004770424,0.524390243902439,0.5059630292188432,0.6608695652173913
16,sub-17,99,0.9090909090909091,0.4012345679012346,0.3434343434343434,0.4388888888888889,0.4715447154471545
17,sub-18,68,0.0,,0.35294117647058826,0.35294117647058826,0.0
18,sub-19,62,0.5483870967741935,0.5,0.532258064516129,0.5357142857142857,0.5396825396825397
19,sub-20,86,0.19767441860465115,0.6419437340153452,0.32558139534883723,0.5132139812446718,0.32558139534883723
20,sub-21,76,0.18421052631578946,0.3974654377880184,0.3815789473684211,0.48271889400921664,0.27692307692307694
21,sub-22,67,0.6567164179104478,0.41205533596837945,0.5671641791044776,0.4940711462450593,0.6881720430107526
22,sub-23,51,0.4117647058823529,0.42380952380952386,0.5882352941176471,0.5,0.0
23,sub-24,65,0.27692307692307694,0.4066193853427896,0.6307692307692307,0.4533096926713948,0.07692307692307691
24,sub-25,56,0.48214285714285715,0.5887611749680716,0.6071428571428571,0.5977011494252873,0.45
25,sub-26,63,0.3968253968253968,0.4926315789473684,0.5555555555555556,0.5221052631578947,0.391304347826087
26,sub-27,69,0.5797101449275363,0.4672413793103448,0.4782608695652174,0.45991379310344827,0.5609756097560975
27,sub-28,77,0.6493506493506493,0.43851851851851853,0.4025974025974026,0.45481481481481484,0.3783783783783784
28,sub-29,68,0.5294117647058824,0.4791666666666667,0.5,0.4826388888888889,0.6222222222222222
29,sub-30,77,0.4935064935064935,0.576923076923077,0.5454545454545454,0.5398110661268556,0.18604651162790697
